Location,Videos (B), Pictures (B),Music (B),Downloads (B),Documents (B),Desktop (B),Total GB
02 South Park Elem,3246391203.24,74282245691.16,58689571.96,12741774439.20,13540199779.44,3223599134.72,99.73
04 Vic West,4332086605.88,12789303165.32,434157261.96,33275663383.44,11800178164.56,20410973317.12,77.33
05 George Jay,377078971.12,57889837895.08,554942590.28,144021243971.84,424166137237.00,72585987485.76,651.54
06 Victor,2273228.16,2655647416.76,360996470.96,2819211446.60,9177037862.32,825453680.64,14.75
07 Sir James Douglas,239229892.64,6817261570.28,8562310263.24,61266291230.92,167699433191.20,52656672768.00,276.82
08 Sundance-Bank,0,0,0,0,2348810.24,0,0
10 Craigflower,155720961.20,57349748145.16,2882127395.52,33820481787.72,47190267078.36,22105394073.60,152.27
11 SJ Burnside,9100507832.08,11431596212.32,73552010.20,68147222887.04,14855245787.80,5994087068.40,102.07
12 Margaret Jenkins,15363824255.32,59946990594.00,27630179853.28,102113211520.56,53393489962.12,99176938670.08,333.06
13 Oaklands Elementary,31741340.64,105282999282.76,6292849705.84,212600946201.08,128526476063.68,79911442114.56,496.06
15 Monterey,7535545308.04,27569334886.68,281247074.84,82904749420.64,81955073644.40,36837378539.52,220.80
16 Quadra,5405091437.88,11717383882.00,7853652016.60,68684759556.28,106237881480.04,32337209518.08,216.28
18 Victoria High,35074874347.72,76867945944.04,5547692870.60,532752907733.52,458018421853.04,422521170851.84,1425.65
19 Cloverdale,24282744788.00,31888964984.00,343332747.78
8722169664.80,98577149229.92,74564189012.56,38167864025.12,56515042519.78
204.92
20 Tillicum Community School,8871569140.16,34986183351.32,2086441198.88,86424009701.12,149376395749.88,104512615589.92,359.73
21 Willows,184307880.20,34458127325.60,19674621183.64,247002700573.88,81062663321.28,127613953607.68,474.97
24 Oak Bay High,74163060892.28,366676757247.32,3713075202.76,765818451681.76,316355363003.56,296824292237.60,1698.31
25 Cedar Hill Middle,0,0,0,0,0,0,0
27 McKenzie,28548375.08,8529946442.00,22989566.72,68889947888.84,30108668345.12,30087450030.08,128.21
28 Doncaster,8404402165.72,17276897130.72,1958784868.28,115523674158.68,60592688602.88,59012782194.72,244.72
29 View Royal,1378602009.24,39831591237.48,2867910957.52,138727195588.80,31373529807.52,97936429551.68,290.67
30 Frank Hobbs,5332415613.92,43470483413.92,3714471536.56,68546224331.56,135986544980.56,38702970460.16,275.44
32 Strawberry Vale,9521.00,995022863.80,5265738.80,22345863322.44,13120006220.40,15304319436.80,48.21
33 James Bay,3510032736.96,32136604982.64,94506952.68,52342100923.64,87088334495.68,6450527490.08,169.14
35 Central Middle,808114393.40,194894745355.40,4547323003.88,89050421287.08,113120623833.68,65392981084.16,435.68
36 Lansdowne N,11356816319.56,91772900615.08,3736447645.92,143115331572.24,128169932678.44,212884069236.12,550.44
38 Glanford,7553761878.64,67221219671.60,4921977627.72,98395657487.12,52107332639.48,63950276108.32,273.94
39 Gordon Head,21222215119.64,56467856475.64,5536004515.04,95949628489.92,55920793760.80,32850598082.56,249.54
40 Macaulay,1706935740.64,12838634995.40,61236888.80,115886189679.68,46525407586.32,33461791569.92,196.02
42 Lake Hill,200062226.52,5816821402.28,44411022.80,169594753788.20,48606243797.84,11839511031.84,219.88
44 ISP,18987873.96,19593240248.20,1988879.88,63022570538.56,63595758893.68,8714725621.76,144.30
46 Marigold,1363363132.16,41710321740.08,1011925097.68,74128355124.32,31406135708.12,27106923929.60,164.58
47 Campus View,6166889216.84,28555755591.72,568436591.80,111473907520.12,134838380780.16,33498657576.96,293.46
48 Esquimalt,71516332030.24,82631806180.52,5159187994.88,146355870762.56,197691887390.12,276421786996.12,726.22
49 Mt Douglas,18777959544.80,292406218683.56,12154332869.52,585302318668.96,600487594996.88,368683487550.24,1748.84
51 Braefoot,9323.00,732145609.00,75808.96,23915646304.60,1875794184.44,6381455513.60,30.64
52 Hillcrest Elem - Victoria,205335829.80,55505977570.40,1630500319.48,59259932600.92,15863282303.72,12508971335.68,135.01
54 Northridge,3868268067.64,21118171370.28,3250415.64,61663299884.64,39400912370.40,17642778417.68,133.82
56 Rockheights,30617959553.44,18035175131.44,7602227244.08,26037730648.96,26541493350.04,36547099494.40,135.39
57 Reynolds,53614253808.04,173153889384.96,7916963340.76,742315314120.48,849569707400.04,441697520373.76,2112.48
58 Shoreline,4888052802.00,49310901747.76,611211930.80,72480518247.60,48110109665.28,9868760596.48,172.54
62 Arbutus,1964445920.52,23307088370.64,5064953809.28,109510942331.80,55650699073.72,30001902256.16,210.01
63 Spectrum Community,25506772259.44,39809891348.56,888946677.80,671165562093.60,664938126191.12,241186825533.44,1530.62
64 Lambrick Park,21030805270.84,135376671544.80,10694293232.84,475400393035.20,296099919107.96,312370581575.68,1165.05
65 Torquay Elementary,738998742.92,39061485463.84,957384877.96,109185515716.76,35937448810.64,32488186685.44,203.37
66 Rogers,428555530.08,40301758018.32,129886816.44,93224810175.20,45242613073.68,116713595607.04,275.70
67 Eagle View,449302452.56,46203276570.08,655610561.80,49998205710.52,45969587150.20,14940475996.16,147.35
68 Colquitz Middle,128083404755.24,69705379998.08,7013427547.32,119906684080.28,67711555058.44,49463780218.88,411.53
77 Ledger,2783.00,1449467.80,2778.00,5796497516.72,1613211210.32,168485.16,6.90
83 Quadra Warehouse,1008.00,1008.00,1008.00,564.00,2349614.24,74096.64,0
Unknown School,0,0,0,0,0,0,0
