Location,Type,Used (GB),NLE (GB),ToBeDeleted (GB),Total storage (GB)
02 South Park Elem,SchoolFS,169.34,2.33,0,167.01
04 Vic West,SchoolFS,188.85,0.13,0,188.72
05 George Jay,SchoolFS,760.46,0.99,3.42,756.05
06 Victor,SchoolFS,83.69,0.3,0,83.39
07 Sir James Douglas,SchoolFS,380.27,0.19,0,380.08
08 Sundance-Bank,SchoolFS,3.67,0,0,3.67
10 Craigflower,SchoolFS,246.23,16.69,0,229.54
11 SJ Burnside,SchoolFS,452.31,0.74,6.29,445.28
12 Margaret Jenkins,SchoolFS,662.13,50,0,612.13
13 Oaklands Elementary,SchoolFS,787.79,0.32,0.84,786.63
15 Monterey,SchoolFS,496.29,0.06,3.56,492.67
16 Quadra,SchoolFS,334.47,0.07,0.19,334.21
18 Victoria High,SchoolFS,2409.99,5.48,17.03,2387.48
19 Cloverdale,SchoolFS,475.4,89.02,0,386.38
20 Tillicum Community School,SchoolFS,431.16,4.21,0,426.95
21 Willows,SchoolFS,698.56,50.83,0,647.73
24 Oak Bay High,SchoolFS,2485.3,5.24,654.34,1825.72
25 Cedar Hill Middle,SchoolFS,602.76,0,0,602.76
27 McKenzie,SchoolFS,252.61,0,0.02,252.59
28 Doncaster,SchoolFS,441.49,16.76,0,424.73
29 View Royal,SchoolFS,480.83,0.35,0,480.48
30 Frank Hobbs,SchoolFS,420.47,109.61,1.17,309.69
32 Strawberry Vale,SchoolFS,153.41,1.24,0.33,151.84
33 James Bay,SchoolFS,266.98,10.84,6.63,249.51
35 Central Middle,SchoolFS,700.97,8.21,46.99,645.77
36 Lansdowne N,SchoolFS,646.57,51.46,0.77,594.34
38 Glanford,SchoolFS,603.74,3.09,69.74,530.91
39 Gordon Head,SchoolFS,388.37,51.84,0,336.53
40 Macaulay,SchoolFS,334.52,1.6,0,332.92
42 Lake Hill,SchoolFS,312.59,27.5,0,285.09
44 ISP,SchoolFS,628.05,5.48,0,622.57
46 Marigold,SchoolFS,0,0,0,0
47 Campus View,SchoolFS,432.42,20.92,0,411.5
48 Esquimalt,SchoolFS,5028.33,21.29,0,5007.04
49 Mt Douglas,SchoolFS,3355.95,1.55,28.47,3325.93
51 Braefoot,SchoolFS,236.89,0,0,236.89
52 Hillcrest Elem - Victoria,SchoolFS,258.29,13.66,0,244.63
54 Northridge,SchoolFS,0,0,0,0
56 Rockheights,SchoolFS,194.76,0.51,0.01,194.24
57 Reynolds,SchoolFS,3118.31,58.56,16.35,3043.4
58 Shoreline,SchoolFS,387.83,3.14,0.01,384.68
62 Arbutus,SchoolFS,550.32,94.06,0.62,455.64
63 Spectrum Community,SchoolFS,0,0,0,0
64 Lambrick Park,SchoolFS,3025.66,12.61,12.86,3000.19
65 Torquay Elementary,SchoolFS,386.52,24.49,0,362.03
66 Rogers,SchoolFS,404.97,25.86,0.54,378.57
67 Eagle View,SchoolFS,291.73,11.7,0,280.03
68 Colquitz Middle,SchoolFS,0,0,0,0
77 Ledger,SchoolFS,30.39,0,0,30.39
83 Quadra Warehouse,SchoolFS,8.36,0,0,8.36
,,35010,802.93,870.18,33336.89
