number,name
62,Arbutus
51,Braefoot
47,Campus View
25,Cedar Hill Middle
35,Central Middle
19,Cloverdale
68,Colquitz Middle
10,Craigflower
28,Doncaster
67,Eagle View
48,Esquimalt
91,Facilities
30,Frank Hobbs
05,George Jay
38,Glanford
39,Gordon Head
52,Hillcrest Elem - Victoria
82,Inclusion Oureach
44,ISP
33,James Bay
42,Lake Hill
64,Lambrick Park
36,Lansdowne N
60,Lansdowne S
77,Ledger
40,Macaulay
12,Margaret Jenkins
46,Marigold
27,McKenzie
15,Monterey
49,Mt Douglas
54,Northridge
24,Oak Bay High
13,Oaklands Elementary
16,Quadra
83,Quadra Warehouse
57,Reynolds
56,Rockheights
66,Rogers
58,Shoreline
07,Sir James Douglas
11,SJ Burnside
02,South Park Elem
63,Spectrum Community
32,Strawberry Vale
08,Sundance-Bank
20,Tillicum Community School
65,Torquay Elementary
44,Uplands (International)
06,Victor
18,Victoria High
04,Vic West
29,View Royal
21,Willows
