file name,filetype (extension),size,drive letter,filepath
VSSstaffhomeRestoreMICROSOFT.ps1,ps1,1280,E,VSSstaffhomeRestoreMICROSOFT.ps1
VSSstaffhomeRestoreSHADOW.ps1,ps1,1781,E,VSSstaffhomeRestoreSHADOW.ps1
VSSstaffhomeRestoreTranscript.txt,txt,142028,E,VSSstaffhomeRestoreTranscript.txt
Yara,,3563,E,Yara
System Volume Information,,4252017623,E,System Volume Information
tracking.log,log,1024000,E,tracking.log
{0b09c9e1-3be0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,45109739,E,{0b09c9e1-3be0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15df7634-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,26455572,E,{15df7634-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15df8951-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,12184453,E,{15df8951-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15df9005-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,16598958,E,{15df9005-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15df9c8e-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,37895536,E,{15df9c8e-248f-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15e59e82-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,11272192,E,{15e59e82-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15e5a3f6-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,17039360,E,{15e5a3f6-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{15e5b130-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,24924651,E,{15e5b130-295b-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{1c0bfe17-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,11062476,E,{1c0bfe17-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{1c0c041c-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,16661872,E,{1c0c041c-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{1c0c115d-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23571988,E,{1c0c115d-3219-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255dd724-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9531555,E,{255dd724-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255ddaf1-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,13421772,E,{255ddaf1-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255de048-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9563013,E,{255de048-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255de2fa-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9521070,E,{255de2fa-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255de5eb-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9563013,E,{255de5eb-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255de89d-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9615441,E,{255de89d-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255deb4b-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9667870,E,{255deb4b-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255dee13-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9636413,E,{255dee13-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255df106-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9720299,E,{255df106-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255df563-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9720299,E,{255df563-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255df819-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9783214,E,{255df819-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{255dfad8-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,9730785,E,{255dfad8-3aa0-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{26f681c6-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23330816,E,{26f681c6-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{26f69502-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,10538188,E,{26f69502-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{26f69b8d-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,15781068,E,{26f69b8d-3989-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{3808876b-c176-4e48-b7ae-04046e6cc752},,131072,E,{3808876b-c176-4e48-b7ae-04046e6cc752}
{38589f30-4107-11ef-b27c-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23393730,E,{38589f30-4107-11ef-b27c-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{4598400c-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,10800332,E,{4598400c-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{45984592-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,17301504,E,{45984592-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{45985208-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23425187,E,{45985208-32e2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{47e2bd76-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,17091788,E,{47e2bd76-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{47e2c8a2-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23267901,E,{47e2c8a2-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{47e2db18-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,12824084,E,{47e2db18-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{47e2e105-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,16127098,E,{47e2e105-38a5-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{49e187e5-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,11209277,E,{49e187e5-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{49e18da8-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,17207132,E,{49e18da8-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{49e199c0-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,37664849,E,{49e199c0-2a33-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{51b44070-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,26214400,E,{51b44070-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{51b4527b-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,11660165,E,{51b4527b-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{51b4594e-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,17563648,E,{51b4594e-22e3-11ef-b27a-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{5773307f-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,16043212,E,{5773307f-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{57733cac-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,23645388,E,{57733cac-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
{5773511e-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752},,11031019,E,{5773511e-37d2-11ef-b27b-000c290903fd}{3808876b-c176-4e48-b7ae-04046e6cc752}
